54741; -3.11919; -0.0274811
54751; -3.11944; -0.0231523
54761; -3.12152; -0.0250901
54771; -3.12051; -0.0240864
54781; -3.11846; -0.0251389
54791; -3.11424; -0.0263265
54801; -3.11933; -0.0212466
54811; -3.12442; -0.0232247
54821; -3.12154; -0.0260671
54831; -3.1224; -0.0252425
54841; -3.11933; -0.025292
54851; -3.12127; -0.0284417
54861; -3.12254; -0.0340829
54871; -3.12454; -0.0230618
54881; -3.1233; -0.0243813
54891; -3.11433; -0.0232195
54901; -3.11815; -0.0234347
54911; -3.12133; -0.0253187
54921; -3.1224; -0.0262518
54931; -3.12131; -0.020277
54941; -3.11937; -0.0222131
54951; -3.11922; -0.0274532
54961; -3.12555; -0.0190524
54971; -3.12442; -0.027262
54981; -3.12034; -0.03237
54991; -3.11427; -0.0262999
55001; -3.11829; -0.0243047
55011; -3.12449; -0.0251419
55021; -3.12041; -0.025216
55031; -3.12137; -0.0272879
55041; -3.11721; -0.0233628
55051; -3.11946; -0.0261446
55061; -3.1224; -0.0282701
55071; -3.12652; -0.0271259
55081; -3.12051; -0.0291018
55091; -3.1151; -0.0254697
55101; -3.12025; -0.0203178
55111; -3.12141; -0.0272329
55121; -3.1225; -0.0291322
55131; -3.12041; -0.0231995
55141; -3.11627; -0.02734
55151; -3.11723; -0.0253677
55161; -3.12032; -0.0243058
55171; -3.12444; -0.0221929
55181; -3.12236; -0.0242822
55191; -3.11822; -0.03047
55201; -3.1224; -0.0252425
55211; -3.12051; -0.0250896
55221; -3.12356; -0.0290452
55231; -3.1132; -0.0263524
55241; -3.12032; -0.0212686
55251; -3.12234; -0.0253192
55261; -3.12135; -0.0252931
55271; -3.12246; -0.021141
55281; -3.11829; -0.02228
55291; -3.11942; -0.0251901
55301; -3.11624; -0.0273677
55311; -3.12028; -0.0233407
55321; -3.11955; -0.0300438
55331; -3.12125; -0.030503
55341; -3.11834; -0.0313261
55351; -3.11735; -0.0232213
55361; -3.11951; -0.0240859
55371; -3.12358; -0.0250157
55381; -3.11825; -0.028411
55391; -3.1152; -0.0243522
55401; -3.12336; -0.0243073
55411; -3.12444; -0.0232013
55421; -3.12036; -0.0232464
55431; -3.11726; -0.0233154
55441; -3.11825; -0.028411
55451; -3.12047; -0.0261451
55461; -3.11946; -0.0251395
55471; -3.12149; -0.0271235
55481; -3.12041; -0.0302564
55491; -3.11721; -0.0304693
55501; -3.12131; -0.0223041
55511; -3.12754; -0.023086
55521; -3.12252; -0.0250906
55531; -3.12133; -0.026331
55541; -3.11534; -0.0302833
55551; -3.11728; -0.0243041
55561; -3.12358; -0.0230152
55571; -3.12145; -0.026172
55581; -3.12139; -0.0232234
55591; -3.11928; -0.0223031
55601; -3.12021; -0.0254469
55611; -3.12453; -0.0270979
55621; -3.12248; -0.0241358
55631; -3.1185; -0.0240853
55641; -3.11839; -0.0242067
55651; -3.11922; -0.0284694
55661; -3.12751; -0.0291639
55671; -3.11841; -0.0201531
55681; -3.11829; -0.0263292
55691; -3.11723; -0.0243534
55701; -3.12049; -0.0241106
55711; -3.12655; -0.0250671
55721; -3.1203; -0.0263571
55731; -3.11657; -0.0310114
55741; -3.11721; -0.0294543
55751; -3.1224; -0.0232239
55761; -3.12238; -0.0212265
55771; -3.12442; -0.0252434
55781; -3.12246; -0.0271787
55791; -3.11713; -0.0254711
55801; -3.11951; -0.0220794
55811; -3.12045; -0.0211402
55821; -3.12352; -0.0260942
55831; -3.11832; -0.0283248
55841; -3.1182; -0.0254199
55851; -3.12133; -0.0232939
55861; -3.12338; -0.0232713
55871; -3.12238; -0.0262783
55881; -3.11622; -0.0233385
55891; -3.11928; -0.0243299
55901; -3.12256; -0.0280437
55911; -3.1194; -0.023199
55921; -3.12234; -0.0263315
55931; -3.12129; -0.0263844
55941; -3.12236; -0.0283273
55951; -3.12742; -0.0252957
55961; -3.12149; -0.0271235
55971; -3.12339; -0.0222373
55981; -3.11531; -0.021223
55991; -3.11829; -0.0283535
56001; -3.12244; -0.0251917
56011; -3.11946; -0.0261446
56021; -3.11544; -0.026142
56031; -3.11723; -0.0273962
56041; -3.12325; -0.0264929
56051; -3.12032; -0.0283548
56061; -3.12154; -0.0300751
56071; -3.12352; -0.0281005
56081; -3.11627; -0.0253157
56091; -3.12129; -0.0273987
56101; -3.11912; -0.0255243
56111; -3.12751; -0.0331837
56121; -3.11836; -0.0302856
56131; -3.11647; -0.0231042
56141; -3.11738; -0.0211813
56151; -3.12246; -0.0231538
56161; -3.12354; -0.0270702
56171; -3.12125; -0.0274544
56181; -3.12034; -0.027315
56191; -3.1182; -0.0223706
56201; -3.12328; -0.022373
56211; -3.11953; -0.0230595
56221; -3.12145; -0.0281842
56231; -3.11433; -0.0282648
56241; -3.1164; -0.0292163
56251; -3.12028; -0.0223262
56261; -3.12055; -0.0240381
56271; -3.12125; -0.0254216
56281; -3.12047; -0.02514
56291; -3.11829; -0.0293655
56301; -3.11846; -0.0221233
56311; -3.12437; -0.0263325
56321; -3.1156; -0.0289821
56331; -3.11955; -0.0270409
56341; -3.12127; -0.0253958
56351; -3.12442; -0.0212058
56361; -3.11935; -0.0232459
56371; -3.11452; -0.0230567
56381; -3.11629; -0.0252902
56391; -3.12221; -0.0234607
56401; -3.12129; -0.0314552
56411; -3.12752; -0.0321465
56421; -3.11848; -0.0241095
56431; -3.1174; -0.0251889
56441; -3.11526; -0.0222784
56451; -3.12336; -0.0253197
56461; -3.12045; -0.0271776
56471; -3.12137; -0.0222365
56481; -3.1182; -0.0223706
56491; -3.11515; -0.0244017
56501; -3.11937; -0.0222131
56511; -3.1225; -0.0251158
56521; -3.12147; -0.0281559
56531; -3.11926; -0.0284117
56541; -3.11818; -0.030532
56551; -3.12449; -0.0271523
56561; -3.12145; -0.0271781
56571; -3.12242; -0.0262253
56581; -3.12023; -0.0264374
56591; -3.12535; -0.0223284
56601; -3.12451; -0.0271251
56611; -3.11755; -0.0270397
56621; -3.11536; -0.025213
56631; -3.1152; -0.0263806
56641; -3.12234; -0.0283559
56651; -3.12133; -0.0243063
56661; -3.12349; -0.0231309
56671; -3.12242; -0.0272335
56681; -3.11422; -0.0233136
56691; -3.12439; -0.0273171
